JournalTitle,ISSN,JournalLink,FakeJournalLink,Publisher,Indexing,Reason,JournalType
Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,1006-7043,http://heuxb.hrbeu.edu.cn/en/#/,https://harbinengineeringjournal.com/index.php/journal/index,Haerbin Gongcheng Daxue/Harbin Engineering University,_,,Fake
Specialusis Ugdymas,1392-5369 2424-3299,https://www.journals.vu.lt/special-education/,http://www.sumc.lt/index.php/se/index,Vilnius University Press,CiteScore 0.2/Q4,,Fake
Journal of Philanthropy and Marketing,2691-1361,https://onlinelibrary.wiley.com/journal/26911361,https://journalofphilanthropyandmarketing.com/index.php,Wiley,#,,Fake
Shuili Xuebao/Journal of Hydraulic Engineering,0559-9350,http://jhe.ches.org.cn/jhe/ch/index.aspx,https://slxbperiodicals.net/cn/,Chinese Hydraulic Engineering Society,CiteScore 1.8/Q3,,Fake
MODERN PHYTOMORPHOLOGY,2226-3063  2227-9555,http://phytomorphology.org/cgi-sys/suspendedpage.cgi,https://www.phytomorphology.com/,TATE NATURAL HISTORY MUSEUM NAS UKRAINE,WoS (ESCI),,Fake
Acta Biomedica,0392-4203,https://mattioli1885journals.com/index.php/actabiomedica,http://mattiolli1885journals.com/,Mattioli1885,CiteScore 2.8/Q2,,Fake
TELEMATIQUE,1856-4194,http://ojs.urbe.edu/index.php/telematique,https://www.provinciajournal.com/index.php/telematique,UNIV RAFAEL BELLOSO CHACIN,_,,Fake
Pakistan Heart Journal,0048-2706 2227-9199,https://pakheartjournal.com/index.php/pk,https://www.pkheartjournal.com/index.php/journal,Pakistan Cardiac Society,CiteScore 0.1/Q4,,Fake
Journal of New Zealand Studies,1176-306X 2324-3740,https://ojs.victoria.ac.nz/jnzs/about,https://journalofnewzealandstudies.com/jnzs/about.html,"Stout Research Centre, Victoria University of Wellington",_,,Fake
Azerbaijan Medical Journal,0005-2523,https://azmedjournal.com/index.php/amz,https://www.azerbaijanmedicaljournal.com,Izdatelstvo Elm,CiteScore 0.2/Q4,,Fake
Tec Empresarial,1659-2395 1659-3359,http://revistas.tec.ac.cr/index.php/,https://revistas.tecac.cr/index.php/tec_empresarial/index,"Business School, Instituto Tecnologico de Costa Rica",CiteScore 1.2/Q3,,Fake
Machine Intelligence Research,2731-538 2731-5398,https://www.springer.com/journal/11633,https://machineintelligenceresearch.com/,SPRINGER,#,,Fake
Journal of Higher Education Theory and Practice,2158-3595,https://nabpress.com/higher-education-theory-and-practice,http://johetap.com/,North American Business Press,CiteScore 0.3/Q4,,Fake
Yantu Gongcheng Xuebao/Chinese Journal of Geotechnical Engineering,1000-4548,http://manu31.magtech.com.cn/Jwk_ytgcxb/EN/10.11779/CJGE202112006,http://ytgcxb.periodicales.com/index.php/CJGE,Editorial Office of Chinese Journal of Geotechnical Engineering,CiteScore 1.8/Q3,,Fake
Tianjin Daxue Xuebao (Ziran Kexue yu Gongcheng Jishu Ban)/Journal of Tianjin University Science and Technology,0493-2137,http://xbzrb.tju.edu.cn/#/,https://tianjindaxuexuebao.com/KNavi/JournalDetail2.html,Tianjin Daxue/Tianjin University,_,,Fake
Jilin Daxue Xuebao (Gongxueban)/Journal of Jilin University (Engineering and Technology Edition),1671-5497,http://xuebao.jlu.edu.cn/gxb/EN/1671-5497/home.shtml,https://oversea.onlinecnki.net/KNavi/JournalDetail4.html?DBCode=CJFD&amp;BaseID=GLGL,Jilin University,CiteScore 1.0/Q3,,Fake
Azania,0067-270X 1945-5534,https://www.tandfonline.com/journals/raza20,https://www.azaniajournal.com/,Taylor &amp; Francis,_,,Fake
gis.Science - Die Zeitschrift fur Geoinformatik,1869-9391,https://gispoint.de/gis-science/zeitschrift.html,https://gisscience.net/,Wichmann Verlag,_,,Fake
Gradiva,0363-8057,https://en.olschki.it/riviste/9,https://gradiva.it/,CASA EDITRICE LEO S OLSCHKI,_,,Fake
Hong Kong journal of Social Sciences,1021-3619,#,http://hkjoss.com/index.php/journal,City University of Hong Kong Press,CiteScore 0.0/Q4,,Fake
Journal of Chemical Health Risks,2251-6719 2251-6727,https://jchr.damghan.iau.ir/,https://jchr.org/index.php/JCHR,Islamic Azad University,CiteScore 1.1/Q4,,Fake
Tuijin Jishu/Journal of Propulsion Technology,1001-4055,#,https://www.propulsiontechjournal.com/index.php/journal,Zhongguo Hangtian Gongye Zonggongsi,CiteScore 1.1/Q3,,Fake
Corrosion and Protection,1005-748X,#,https://www.fsyfh.cn/,Shanghai Research Institute of Materials,#,,Fake
Zeitschrift fur Psychologie / Journal of Psychology,2190-8370 2151-2604,https://www.hogrefe.com/us/journal/zeitschrift-fuer-psychologie,https://journalofpsychologyenglish.com/current-issue.php,HOGREFE PUBLISHING,CiteScore 4.2/Q1,,Fake
Seybold Report,1533-9211,_,https://seyboldreports.org/,Seybold Publications,CiteScore 0.0/Q4,,Fake
Papers on Social Representations,1021-5573 1819-3978,https://psr.iscte-iul.pt/index.php/PSR/index,https://psr.iscte-iul.com/,JOHANNES KEPLER UNIVERSITY,#,,Fake
Philosophical Readings,2036-4989,#,https://philosophicalreadings.org/,Ca Foscari University Department of Philosophy and Cultural Heritage,CiteScore 0.3/Q3,,Fake
Informatica,0868-4952 1822-8844,https://informatica.vu.lt/journal/INFORMATICA,http://informaticajournal.com/,IOS Press,CiteScore 7.5/Q1,,Fake
Boletin de Literatura Oral,2173-0695,https://revistaselectronicas.ujaen.es/index.php/blo,http://www.boletindeliteraturaoral.com/index.php/bdlo,Universidad de Jaen,#,,Fake
Academy of Management Annals,1941-6520 1941-6067,https://journals.aom.org/journal/annals,https://aomannals.com/,Academy of Management,#,,Fake
Fangzhi Gaoxiao Jichukexue Xuebao,1006-8341,http://caod.oriprobe.com/journals/fzgxjckxxb/BASIC_SCIENCES_JOURNAL_OF_TEXTILE_UNIVERSITIES.htm,https://fzgxjckxxb.com/,Educational Committee of Basic Subjects of Textile Institute,_,,Fake
Acta Scientific Paediatrics,2581-883X,https://actascientific.com/ASPE.php,,Acta Scientific,_,"المكاتب تروج بشكل كبير جدا لهذه المجلة وتستخدم معامل تاثير مزيف , اضافة الى وجود الناشر للمجلة في قائمة بيل للمجلات ودور النشر المفترسة",Commercial
Academic International Journal of Social Sciences and Humanities (AIJSSH),2984-7729,https://www.aipublishers.org/aijssh,,Academic International Publishers,_,.,Commercial
International Journal of Advanced Engineering and Management Research (IJAEMR),2456-3676,https://www.ijaemr.com/,,_,_,المكاتب تروج بشكل كبير جدا لهذه المجلة وتستخدم معامل تاثير مزيف,Commercial
Current Research in Drug Discovery,2333-3235 2333-3243,https://thescipub.com/crdd,,Science Publications,_,الناشر للمجلة مفترس مدرج ضمن قائمة بيل للمجلات ودور النشر المفترسة,Commercial
Research Inventy,2278-4721 2319-6483,http://www.researchinventy.com/index.html,,RI publishers,_,المكاتب تروج بشكل كبير جدا لهذه المجلة وتستخدم معامل تاثير مزيف,Commercial
Rawal Medical Journal,0303-5212,https://www.rmj.org.pk,,Pakistan Medical Association,Scopus (Q4),.,Commercial
